commit,configfile,repairedconfig
5c976a56570f29aaf4a2f9a1bf99789c252183c9,100921.config,repaired_5c976a56570f29aaf4a2f9a1bf99789c252183c9.config
d1a97648ae028a44536927c87837c45ada7141c9,032521.config,repaired_d1a97648ae028a44536927c87837c45ada7141c9.config
216a9873198bdc5c670a9f71d58fafd30227c9c8,010722.config,repaired_216a9873198bdc5c670a9f71d58fafd30227c9c8.config
72d6cbb533d4309734606027fe083c4edb0aa7aa,090421.config,repaired_72d6cbb533d4309734606027fe083c4edb0aa7aa.config
19f036eaaffa581449c907aa78b98b1f147af336,100921.config,repaired_19f036eaaffa581449c907aa78b98b1f147af336.config
cfdf6b19e750f7de8ae71a26932f63b52e3bf74c,110821.config,repaired_cfdf6b19e750f7de8ae71a26932f63b52e3bf74c.config
b011a57e41ccbd402ecdcb53514ba76b898ec22e,121121.config,repaired_b011a57e41ccbd402ecdcb53514ba76b898ec22e.config
9467a0ce486c87a8f06ad492afa8b95686bff61f,090421.config,repaired_9467a0ce486c87a8f06ad492afa8b95686bff61f.config
3fc0b7d3e0a4d37e4c60c2232df4500187a07232,011618.config,repaired_3fc0b7d3e0a4d37e4c60c2232df4500187a07232.config
14ea315bbeb75aa996b577822999df4edbcfb3d0,080421.config,repaired_c454d16a7d5a9af88b844d98bec50d2363c19941.config
c9c5608fafe4dae975c9644c7d14c51ad3b0ed73,110821.config,repaired_c9c5608fafe4dae975c9644c7d14c51ad3b0ed73.config
2d9bdf645584d15ed1d4aae6204cb6ea8b673d48,090820.config,repaired_2d9bdf645584d15ed1d4aae6204cb6ea8b673d48.config
536a4f75d48146ddf8beb97eaf454f616b6bf4b2,073120.config,repaired_536a4f75d48146ddf8beb97eaf454f616b6bf4b2.config
9b13ff4340dff30f361462999a6a122fcc4e473f,062721.config,repaired_9b13ff4340dff30f361462999a6a122fcc4e473f.config
eb5e6730db98fcc4b51148b4a819fa4bf864ae54,020119.config,repaired_eb5e6730db98fcc4b51148b4a819fa4bf864ae54.config
d941f47caa386931c3b598ad1b43d5ddd65869aa,060720.config,repaired_d941f47caa386931c3b598ad1b43d5ddd65869aa.config
1918651f2d7e8d58c9b7c49755c61e41ed655009,120920.config,repaired_1918651f2d7e8d58c9b7c49755c61e41ed655009.config
f4475f249445b3c1fb99919b0514a075b6d6b3d4,092021.config,repaired_f4475f249445b3c1fb99919b0514a075b6d6b3d4.config
0c4915b6ad823b2e6ae9d97f6da64f1612254d6e,020421.config,repaired_0c4915b6ad823b2e6ae9d97f6da64f1612254d6e.config
cfdf6b19e750f7de8ae71a26932f63b52e3bf74c,110821.config,repaired_cfdf6b19e750f7de8ae71a26932f63b52e3bf74c.config
72d6cbb533d4309734606027fe083c4edb0aa7aa,090421.config,repaired_72d6cbb533d4309734606027fe083c4edb0aa7aa.config
2cf2581cd2290ccef674f1be5f7977d66702eedb,041221.config,repaired_2cf2581cd2290ccef674f1be5f7977d66702eedb.config
4601e24a6fb819d38d1156d0f690cbe6a42c6d76,060720.config,repaired_4601e24a6fb819d38d1156d0f690cbe6a42c6d76.config
9b648bb1d89ef058196cff4fe3bd678ab7ebdb19,010722.config,repaired_9b648bb1d89ef058196cff4fe3bd678ab7ebdb19.config
3652096e5263ad67604b0323f71d133485f410e5,110821.config,repaired_3652096e5263ad67604b0323f71d133485f410e5.config
6a6c4a4d459ecacc9013c45dcbf2bc9747fdbdbd,022520.config,repaired_6a6c4a4d459ecacc9013c45dcbf2bc9747fdbdbd.config
4f67cca70c0f615e9cfe6ac42244f3416ec60877,121121.config,repaired_4f67cca70c0f615e9cfe6ac42244f3416ec60877.config
031d5c16065606efc387aa6865690037c13cefc4,032221.config,repaired_031d5c16065606efc387aa6865690037c13cefc4.config
b011a57e41ccbd402ecdcb53514ba76b898ec22e,121121.config,repaired_b011a57e41ccbd402ecdcb53514ba76b898ec22e.config
771ced73fccd0ac19bb956eaacce3669cfccc805,010722.config,repaired_771ced73fccd0ac19bb956eaacce3669cfccc805.config
0df952873636a6df4b7469a4eb4da1e477031e3a,122719.config,repaired_0df952873636a6df4b7469a4eb4da1e477031e3a.config
ddaf14dab78c915b52f6c359b3f00ef3b97bccf6,032521.config,repaired_ddaf14dab78c915b52f6c359b3f00ef3b97bccf6.config
c9c5608fafe4dae975c9644c7d14c51ad3b0ed73,110821.config,repaired_c9c5608fafe4dae975c9644c7d14c51ad3b0ed73.config
a66111446d3eaf6e982d6a497745cb4fa7247afa,020421.config,repaired_a66111446d3eaf6e982d6a497745cb4fa7247afa.config
e318c3c2ae7d64ae47467044523bd3e2da5c5ce6,041221.config,repaired_e318c3c2ae7d64ae47467044523bd3e2da5c5ce6.config
ea97e44f83e25cb63c70293d71ab625a23f8a0cc,092021.config,repaired_ea97e44f83e25cb63c70293d71ab625a23f8a0cc.config
7cba8c30aa7baf79650dec6b7713b985be84c5f7,051320.config,repaired_7cba8c30aa7baf79650dec6b7713b985be84c5f7.config
ed04ea76e69e7194f7489cebe23a32a68f39218d,110821.config,repaired_ed04ea76e69e7194f7489cebe23a32a68f39218d.config
bd0cef2a797ac59a103c887b7864b6cf7bd5b512,102920.config,repaired_bd0cef2a797ac59a103c887b7864b6cf7bd5b512.config
09f8676eae1d20f840c418503001d29d1ecaa584,051320.config,repaired_09f8676eae1d20f840c418503001d29d1ecaa584.config
5f11723b204aaf461e7a5242fc732222d2f0aa17,080421.config,repaired_5f11723b204aaf461e7a5242fc732222d2f0aa17.config
4b5305decc8436bfe363d1c1773e8fa1c828b14d,121121.config,repaired_4b5305decc8436bfe363d1c1773e8fa1c828b14d.config
bb57768215fb6b557a1ef95a3d87b011efe2e267,060720.config,repaired_bb57768215fb6b557a1ef95a3d87b011efe2e267.config
f7ecac6a0927fba05321fd2997d33688ee547f21,010722.config,repaired_f7ecac6a0927fba05321fd2997d33688ee547f21.config
7c4ed1df0a59541b0c40c468df52217c2e03c210,100520.config,repaired_7c4ed1df0a59541b0c40c468df52217c2e03c210.config
388008bbd60ccf2787ebe053dd91ee92f275630f,100718.config,repaired_388008bbd60ccf2787ebe053dd91ee92f275630f.config
1afd37c6a335369a7927c732a93c0558b64e40bb,022520.config,repaired_1afd37c6a335369a7927c732a93c0558b64e40bb.config
86ad9a24f21ea7aac7deed06fe9556392568d88a,020421.config,repaired_86ad9a24f21ea7aac7deed06fe9556392568d88a.config
f4ba4e55db6db7e85e847f1a5891efa792580809,090820.config,repaired_f4ba4e55db6db7e85e847f1a5891efa792580809.config
3059785bb76e8df7d6585f9b9e2869bd1bd489f6,020119.config,repaired_3059785bb76e8df7d6585f9b9e2869bd1bd489f6.config
72d6cbb533d4309734606027fe083c4edb0aa7aa,090421.config,repaired_72d6cbb533d4309734606027fe083c4edb0aa7aa.config