Description,Type,Location
kernel BUG in f2fs_evict_inode,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/93753f3d7bb0064f8647c172fac834c92e49e156
kernel BUG in jfs_evict_inode,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/4d29c05a745169575292085f4324f8fc89f0c326
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/d4394c45538b1c63110045a196abef2976dafb88
KASAN: null-ptr-deref Read in filemap_fault,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/1d55e6e301c3b6ab3bacc810af22ea3eb5d68e58
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
general protection fault in erofs_bread,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/8d90de82e0b594d61b54d60600579f1356796152
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
WARNING in vma_merge,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/8768ab20e3a7997ed053146226d921e4d33eae52
KASAN: user-memory-access Write in zram_submit_bio,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/a5a61521a214777d2d60b154bbb8b1ee1c43dc6b
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in __floppy_read_block_0,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/562d1641ed735384a179ce7b456f0ce725b84460
WARNING in mark_buffer_dirty,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/36ee3cf62760d3dd70abb165b5f4c44efc22ef17
INFO: task hung in blkdev_put,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/076fcdfbe8c43ded0e3049cc4a9b65e603eb41c8
KASAN: null-ptr-deref Read in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/ac1de6ef66d1a08535c57cb1d3aa7fb7f3e26177
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/d4394c45538b1c63110045a196abef2976dafb88
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
INFO: task hung in del_device_store,Syz reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/13c8d2415e0078a2072f24b6aee8ad0b1bbad292
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
UBSAN: shift-out-of-bounds in extAlloc,Syz reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/1616a6774e1e4f32979c3d9624c3bd1186cbe468
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_020421.config_86ad9a24f21ea7aac7deed06fe9556392568d88a_05072023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/d4394c45538b1c63110045a196abef2976dafb88
BUG: workqueue lockup,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/efb8c5fe01ecb5116825ce2409485c164c048f88
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in __folio_mark_dirty,C reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/62354553a886c8b88fb5d75ad0108d1806c76405
KASAN: slab-use-after-free Read in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/407c19bc6c2e8d50a802230cbc615d5f845a6e76
KASAN: slab-use-after-free Write in sco_sock_timeout,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/c7ed951cf7bac13fbb771774bc4ff97eaf1ccb29
WARNING in floppy_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/rep_022520.config_1afd37c6a335369a7927c732a93c0558b64e40bb_05072023/crashes/af2021e1edc0c56dc2296b260c060279b3f7f820
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/d4394c45538b1c63110045a196abef2976dafb88
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
BUG: workqueue lockup,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/efb8c5fe01ecb5116825ce2409485c164c048f88
INFO: rcu detected stall in scsi_error_handler,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/58e66d653b7b9f41433b227c310dc2b67ab96892
BUG: soft lockup in smp_call_function,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/86fc217b03c88aa11dd51130d3a13f0cfebe9db7
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
KASAN: null-ptr-deref Read in filemap_fault,Syz reproducer,/home/sanan/research/guild_bugs/rep_060720.config_bb57768215fb6b557a1ef95a3d87b011efe2e267_04302023/crashes/1d55e6e301c3b6ab3bacc810af22ea3eb5d68e58
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
WARNING: ODEBUG bug in netdev_run_todo,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/fb96ef3f5640fb22f07c199adcdbcf418d3efd39
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/5e825254fe8b706c3055380f64e655d635c5b449
KASAN: slab-use-after-free Read in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/407c19bc6c2e8d50a802230cbc615d5f845a6e76
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_090421.config_72d6cbb533d4309734606027fe083c4edb0aa7aa_05112023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
BUG: soft lockup in smp_call_function,Syz reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/86fc217b03c88aa11dd51130d3a13f0cfebe9db7
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
WARNING in invalidate_drive,Syz reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/45eac086f3390e061415d55abb194bab80a6c555
INFO: task hung in addrconf_verify_work,Syz reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/c401efa8cefe905e64f586a50d8bbaf2d38f2350
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in user_reset_fdc,Syz reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/a56e8ff306a2353d24fc1ef1eb74db45120ceed7
KASAN: use-after-free Read in diFree,Syz reproducer,/home/sanan/research/guild_bugs/rep_090820.config_f4ba4e55db6db7e85e847f1a5891efa792580809_05082023/crashes/a754b15a21c53459ed6819865bae350dfea6d1ad
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/d4394c45538b1c63110045a196abef2976dafb88
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/156a6a652798fcb5152bf2047a924520b9142814
general protection fault in start_motor,Syz reproducer,/home/sanan/research/guild_bugs/rep_100520.config_7c4ed1df0a59541b0c40c468df52217c2e03c210_05012023/crashes/ff93b4b2f4be1dd2b43578e6afe846e47f291a7f
KASAN: null-ptr-deref Read in filemap_fault,Syz reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/1d55e6e301c3b6ab3bacc810af22ea3eb5d68e58
kernel BUG in erofs_iget,C reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/a20d5ebb9eab2a70a68f4532a200af73767604af
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/d4394c45538b1c63110045a196abef2976dafb88
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
general protection fault in ext4_update_overhead,Syz reproducer,/home/sanan/research/guild_bugs/rep_100718.config_388008bbd60ccf2787ebe053dd91ee92f275630f_05022023/crashes/6b4c1e1e1898853ec5b187775bb1b6794b5ad8d8
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
BUG: soft lockup in smp_call_function,Syz reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/86fc217b03c88aa11dd51130d3a13f0cfebe9db7
general protection fault in reset_interrupt,C reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/740d118a823e6830b03b0573024a803d00ff1c77
UBSAN: shift-out-of-bounds in extAlloc,Syz reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/1616a6774e1e4f32979c3d9624c3bd1186cbe468
WARNING in floppy_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/af2021e1edc0c56dc2296b260c060279b3f7f820
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/rep_121121.config_4b5305decc8436bfe363d1c1773e8fa1c828b14d_04262023/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
possible deadlock in __jbd2_log_wait_for_space,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/6a99bfa07cd9410110c40e8576e538901fa57e5b
kernel BUG in f2fs_evict_inode,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/93753f3d7bb0064f8647c172fac834c92e49e156
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
INFO: task hung in io_ring_exit_work,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/fc35e9b0cd548b8d1cd5c7ca723138ad5e82ac71
possible deadlock in ext4_bmap,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in __floppy_read_block_0,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/562d1641ed735384a179ce7b456f0ce725b84460
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in floppy_shutdown,C reproducer,/home/sanan/research/guild_bugs/110821_jan28_workdir/crashes/55de9c41738ab1807e65e01cad67fb0fc0f15114
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in __folio_mark_dirty,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/62354553a886c8b88fb5d75ad0108d1806c76405
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in ext4_bmap,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
WARNING in wait_til_done,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/aad018da6a4df5bac8de38e1a0200defe7d0ac37
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
WARNING in mark_buffer_dirty,C reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/36ee3cf62760d3dd70abb165b5f4c44efc22ef17
possible deadlock in __jbd2_log_wait_for_space,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/6a99bfa07cd9410110c40e8576e538901fa57e5b
kernel BUG in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb12_workdir/crashes/33571f6dca489ccec646546b053ae3958a0c437b
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
kernel BUG in btrfs_global_root_insert,C reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/fb516ad835ef3c20d1907f3baff1d0fd3f6095db
possible deadlock in j1939_sk_queue_drop_all,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/f53a00539a8a5bedda18bea0ab020b2a25ddcd64
WARNING in __floppy_read_block_0,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/562d1641ed735384a179ce7b456f0ce725b84460
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING: stack going in the wrong direction? at netlink_ack,C reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/96f379c352307a18ca9a4d4b93bf492398a9b0cc
WARNING: stack going in the wrong direction? at mark_lock.part.NUM,Syz reproducer,/home/sanan/research/guild_bugs/010722_feb17_workdir/crashes/f0df63e730fcff29c4642f028d1b6cb11e3f840a
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
BUG: soft lockup in smp_call_function,Syz reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/86fc217b03c88aa11dd51130d3a13f0cfebe9db7
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
WARNING in __folio_mark_dirty,Syz reproducer,/home/sanan/research/guild_bugs/010722_jan21_workdir/crashes/62354553a886c8b88fb5d75ad0108d1806c76405
INFO: task hung in blkdev_get_by_dev,Syz reproducer,/home/sanan/research/guild_bugs/011618_jan27_workdir/crashes/7f1f173efaef023ca7cca1116fb5d25fcd328022
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/011618_jan27_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
general protection fault in efivar_lock,C reproducer,/home/sanan/research/guild_bugs/011618_jan27_workdir/crashes/2b7b5910e043a60c2f4cf4a6b27ebb44e5e5b7ae
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/011618_jan27_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
KASAN: stack-out-of-bounds Read in unwind_next_frame,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/72ec78956dd4772359f753b43a6582fdb2e18c0c
