Description,Type,Location
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/102920_feb26_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in nla_get_range_unsigned,C reproducer,/home/sanan/research/guild_bugs/102920_feb26_workdir/crashes/845afbf476c8c7ed2408c6382b7f9627bf4eef3e
WARNING in blkdev_put,C reproducer,/home/sanan/research/guild_bugs/102920_feb26_workdir/crashes/76ad3a121eaab2a5aa1da8119d332655f36f6388
possible deadlock in sco_conn_del,Syz reproducer,/home/sanan/research/guild_bugs/102920_feb26_workdir/crashes/9ae14474f218849ee7e726ae867b3fa1511a0072
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/102920_feb26_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
WARNING in untrack_pfn,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/cee7d2e16730b4b5763fd25c74c92a437d2cdbb0
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
possible deadlock in jbd2_journal_lock_updates,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/110821_feb12_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING: stack going in the wrong direction? at netlink_ack,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/96f379c352307a18ca9a4d4b93bf492398a9b0cc
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
possible deadlock in __jbd2_log_wait_for_space,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/6a99bfa07cd9410110c40e8576e538901fa57e5b
WARNING: stack going in the wrong direction? at alloc_bprm,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/938f74825a55e71caba81c38fbd093cb3abe0e56
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
INFO: task hung in new_device_store,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/724081886ad53671b1e5cd5dc8336ad799d4954d
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
WARNING: stack going in the wrong direction? at ieee80211_ibss_rx_queued_mgmt,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/169e5a0183f1ecf49d46d5f6314608000add416c
WARNING in nla_get_range_unsigned,C reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/845afbf476c8c7ed2408c6382b7f9627bf4eef3e
WARNING: can't access registers at entry_SYSCALL_64_after_hwframe,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/fd140764a45e7ba01db2f35841a1558490164d1f
WARNING: stack going in the wrong direction? at mark_lock.part.NUM,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/f0df63e730fcff29c4642f028d1b6cb11e3f840a
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
KASAN: stack-out-of-bounds Read in unwind_next_frame,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/72ec78956dd4772359f753b43a6582fdb2e18c0c
WARNING: stack going in the wrong direction? at do_syscall_64,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb19_workdir/crashes/1160768271fbecb05e960cf8a9d8d9dba7b83eac
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
INFO: task hung in io_ring_exit_work,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/fc35e9b0cd548b8d1cd5c7ca723138ad5e82ac71
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
BUG: Bad page state,C reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/143189e89dcd5e8dc7e14dd0755b3fd525128031
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in mark_buffer_dirty,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/36ee3cf62760d3dd70abb165b5f4c44efc22ef17
WARNING in blkdev_put,C reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/76ad3a121eaab2a5aa1da8119d332655f36f6388
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
INFO: task hung in usb_get_descriptor,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb26_workdir/crashes/855a76236d592785e0a2eeabc064b75d9d16a445
UBSAN: shift-out-of-bounds in extAlloc,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb6_workdir/crashes/1616a6774e1e4f32979c3d9624c3bd1186cbe468
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/110821_feb6_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/110821_feb6_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/110821_feb6_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in floppy_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/af2021e1edc0c56dc2296b260c060279b3f7f820
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
INFO: task hung in __filemap_get_folio,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/48e53663f80fe8b825e2c0fa43e0b55f8b020017
kernel BUG in page_add_anon_rmap,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/13a3af8adf9fc904bfe35aa6bc5b313eaa9fcce3
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
kernel BUG in btrfs_free_tree_block,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/20586854e6d16165cc6653fa853de014c269c50b
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
possible deadlock in jbd2_journal_lock_updates,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
general protection fault in reset_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/740d118a823e6830b03b0573024a803d00ff1c77
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
WARNING in __split_vma,C reproducer,/home/sanan/research/guild_bugs/110821_jan24_workdir/crashes/c8b398aee35e1e740042e5e787c7faab0fc5093a
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
WARNING: ODEBUG bug in netdev_run_todo,Syz reproducer,/home/sanan/research/guild_bugs/120920_feb3_workdir/crashes/fb96ef3f5640fb22f07c199adcdbcf418d3efd39
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING: stack going in the wrong direction? at mark_lock.part.NUM,C reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/f0df63e730fcff29c4642f028d1b6cb11e3f840a
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/121121_feb14_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
WARNING: stack going in the wrong direction? at mark_lock.part.NUM,C reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/f0df63e730fcff29c4642f028d1b6cb11e3f840a
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
INFO: task hung in usb_get_descriptor,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/855a76236d592785e0a2eeabc064b75d9d16a445
WARNING: stack going in the wrong direction? at alloc_bprm,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/938f74825a55e71caba81c38fbd093cb3abe0e56
WARNING in nla_get_range_unsigned,C reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/845afbf476c8c7ed2408c6382b7f9627bf4eef3e
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in split_huge_page_to_list,C reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/20705a02897c2fc94af9d5d4648f6c032aff61e1
WARNING: stack going in the wrong direction? at do_syscall_64,Syz reproducer,/home/sanan/research/guild_bugs/121121_feb16_workdir/crashes/1160768271fbecb05e960cf8a9d8d9dba7b83eac
general protection fault in pause_prepare_data,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/7f382a6375f1680d0ee8e4f392a3dd7345ddb4eb
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
WARNING in nilfs_dat_commit_end,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/49c50d558a425b0005304081cdede0a3f85cb8ac
UBSAN: shift-out-of-bounds in fbcon_set_font,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/ac7744514430fd9987f9607ae129a3b8f8fc009d
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
kernel BUG in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/33571f6dca489ccec646546b053ae3958a0c437b
WARNING in __folio_mark_dirty,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/62354553a886c8b88fb5d75ad0108d1806c76405
WARNING in __rate_control_send_low,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/416fc16dc61e88df48b8990e74bd866199c4f53a
WARNING in split_huge_page_to_list,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/20705a02897c2fc94af9d5d4648f6c032aff61e1
KASAN: use-after-free Read in ntfs_test_inode,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/56dcd86a103cc84592005a739e849b7716b102dc
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
KASAN: slab-out-of-bounds Read in ntfs_test_inode,Syz reproducer,/home/sanan/research/guild_bugs/121121_jan25_workdir/crashes/2fcaaf127ce0b0877606373df7930d844a40ae32
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/122719_feb18_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/122719_feb18_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/122719_feb18_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/122719_feb18_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
BUG: workqueue lockup,Syz reproducer,/home/sanan/research/guild_bugs/122719_feb18_workdir/crashes/efb8c5fe01ecb5116825ce2409485c164c048f88
kernel BUG in ext4_enable_quotas,Syz reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/4f0c4f3da0cb167cc49b4303034985daf0cb1ac7
general protection fault in reset_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/740d118a823e6830b03b0573024a803d00ff1c77
possible deadlock in reiserfs_ioctl,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/1e4fb055845a33780d778c1d2ba0b0602a088d98
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
KASAN: slab-use-after-free Read in lbmIODone,Syz reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/407c19bc6c2e8d50a802230cbc615d5f845a6e76
WARNING in __floppy_read_block_0,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/562d1641ed735384a179ce7b456f0ce725b84460
WARNING in untrack_pfn,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/cee7d2e16730b4b5763fd25c74c92a437d2cdbb0
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/020119_jan31_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/051320_feb9_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
WARNING in __floppy_read_block_0,Syz reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/562d1641ed735384a179ce7b456f0ce725b84460
WARNING in hci_conn_timeout,Syz reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
INFO: task hung in nbd_ioctl,Syz reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/7cbb8a66a79c83d5e96c8aad6b16d5791f738c74
WARNING in floppy_queue_rq,C reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
KASAN: slab-out-of-bounds Read in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/481205eef4b6a8100413c4fdf544fad22f237674
general protection fault in s_show,C reproducer,/home/sanan/research/guild_bugs/060720_feb1_workdir/crashes/fbc9baff2e8a31c9f1382892d08fa2ec6de3442b
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
general protection fault in start_motor,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/ff93b4b2f4be1dd2b43578e6afe846e47f291a7f
possible deadlock in jbd2_journal_lock_updates,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/be218cb553db8ea906d7e4c963915bf33e0d49e0
WARNING in ieee80211_bss_info_change_notify,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/62987e9db7b38d1ef5b1810f8c9f7d5d70ec4479
WARNING in put_pmu_ctx,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/6e07780a3ce3871129db248820fca96efc8b6b62
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in floppy_interrupt,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/af2021e1edc0c56dc2296b260c060279b3f7f820
BUG: workqueue lockup,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/efb8c5fe01ecb5116825ce2409485c164c048f88
possible deadlock in ext4_bmap,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
possible deadlock in __jbd2_log_wait_for_space,Syz reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/6a99bfa07cd9410110c40e8576e538901fa57e5b
WARNING in __floppy_read_block_0,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/562d1641ed735384a179ce7b456f0ce725b84460
kernel BUG in f2fs_evict_inode,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/93753f3d7bb0064f8647c172fac834c92e49e156
general protection fault in floppy_ready,C reproducer,/home/sanan/research/guild_bugs/0804_workdir/crashes/4ea5367e5650091df835385a1232d5b2af9270f4
KASAN: null-ptr-deref Read in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/ac1de6ef66d1a08535c57cb1d3aa7fb7f3e26177
WARNING in fd_locked_ioctl,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/c9c1568de910c06f80ba99ef57b7b3685433d947
possible deadlock in l2tp_tunnel_register,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/a64b6524b21ff6276f3df7e060e681029d0792c8
WARNING in mark_buffer_dirty,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/36ee3cf62760d3dd70abb165b5f4c44efc22ef17
general protection fault in start_motor,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/ff93b4b2f4be1dd2b43578e6afe846e47f291a7f
possible deadlock in __jbd2_log_wait_for_space,Syz reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/6a99bfa07cd9410110c40e8576e538901fa57e5b
possible deadlock in ext4_bmap,Syz reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/75e7ba2bc1902a620d00a021c10e6c89d7acc2fd
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
WARNING in wait_til_done,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/aad018da6a4df5bac8de38e1a0200defe7d0ac37
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/090820_jan29_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
